,one_month_return,weight,weighted_return
ANANDRATHI,0.017097026604068866,35.12,60.04475743348985
CHOICEIN,0.18617261635788518,13.12,244.2584726615453
HUDCO,0.415106660861994,1.63,67.66238572050501
IFCI,0.10975387420237004,1.38,15.146034639927064
IIFLSEC,0.2100702576112412,1.32,27.72927400468384
INDIANB,0.029954355268162702,2.38,7.129136553822722
IRFC,0.07741739921188251,6.5,50.32130948772363
MAXIND,0.23733636881047238,2.74,65.03016505406943
MOTILALOFS,0.0847457627118644,0.74,6.271186440677965
NAM-INDIA,0.19024524158125922,13.23,251.69445461200596
PFC,0.250497949619215,3.45,86.42179261862918
POLICYBZR,0.14494739812164936,2.79,40.44032407594017
RECLTD,0.2729986731534719,3.34,91.18155683325962
SMCGLOBAL,-0.0202724105163129,2.84,-5.757364586632863
UNIONBANK,-0.022673559822747325,3.08,-6.983456425406176
VIJIFIN,0.24905660377358507,6.33,157.65283018867936
