,date,returns,comp_returns
0,2023-11-01,1.2376071490551832,1.2376071490551832
1,2023-12-01,1.1980443475452616,1.4827082494071682
2,2024-01-01,1.146419844968372,1.699806161418692
3,2024-02-01,1.2903098707230163,2.193276668394339
4,2024-03-01,1.2387126920466875,2.716839646309942
5,2024-04-01,1.251025379132865,3.3988353485680936
6,2024-05-01,1.1445484301158455,3.890131662425854
7,2024-06-01,1.2150432675181344,4.726678286189662
8,2024-07-01,1.1533045883306323,5.451299755025307
9,2024-08-01,1.1743318063819614,6.4016346884484125
10,2024-09-01,1.1331076616026512,7.253741312262197
11,2024-10-01,1.1494160401889528,8.337566615695433
