,date,returns,comp_returns
0,2023-11-01,1.2183962674953859,1.2183962674953859
1,2023-12-01,1.0450562588785353,1.273292645140299
2,2024-01-01,1.146419844968372,1.45972795684111
3,2024-02-01,1.042050105456235,1.5211096713636931
4,2024-03-01,0.9346778653464596,1.4217475405880713
5,2024-04-01,1.1035323129929981,1.5689443519572608
6,2024-05-01,0.9844433702087038,1.5445368655107166
7,2024-06-01,1.1158242859312921,1.7234317450530514
8,2024-07-01,1.0410410187200405,1.7941631395644857
9,2024-08-01,1.0158886700310004,1.8226700056708094
10,2024-09-01,0.9999518210828807,1.8225821914036704
11,2024-10-01,1.0600255637827412,1.9319837149830597
